X,Y,record_id,street_num,street_dir,street_name,date_status,address_id,parcel_id,lon,lat,ObjectId
-82.946501,42.419284,VPO2023-01527,10710,,SOMERSET,2023/09/22 04:00:00+00,293909,21067262.,-82.946501,42.419284,937
-83.061826,42.418471,VPO2023-01528,4114,EAST,MCNICHOLS,2023/09/22 04:00:00+00,536194,13007197-8,-83.061826,42.418471,938
-83.096485,42.43947,VPO2023-01529,730,,STATE FAIR,2023/10/25 04:00:00+00,480213,09007960.,-83.096485,42.43947,939
-82.996259,42.446439,VPO2023-01530,20264,,BARLOW,2023/10/01 04:00:00+00,175153,21033236.,-82.996259,42.446439,940
-83.096632,42.439466,VPO2023-01531,720,,STATE FAIR,2023/09/22 04:00:00+00,438258,09007962.,-83.096632,42.439466,941
-83.17917,42.390323,VPO2023-01533,14141,,SCHAEFER,2023/10/01 04:00:00+00,537631,22030893.,-83.17917,42.390323,942
-83.127349,42.302256,VPO2023-01534,8321,,RATHBONE,2023/10/01 04:00:00+00,39831,20006048.001,-83.127349,42.302256,943
-82.962325,42.401541,VPO2023-01535,5772,,CHALMERS,2023/10/20 04:00:00+00,313561,21055454.,-82.962325,42.401541,944
-83.141791,42.420637,VPO2023-01536,17416,,STOEPEL,2023/10/01 04:00:00+00,546360,16019069.,-83.141791,42.420637,945
-83.116889,42.364638,VPO2023-01538,4002,,PINGREE,2023/10/01 04:00:00+00,85624,14003041.,-83.116889,42.364638,946
-83.077083,42.375154,VPO2023-01539,8201,,WOODWARD,2023/10/01 04:00:00+00,341405,02001722.002L,-83.077083,42.375154,947
-82.958254,42.42848,VPO2023-01540,18001,,KELLY,2023/10/01 04:00:00+00,545345,21057319-29,-82.958254,42.42848,948
-83.239633,42.372337,VPO2023-01541,20250,,PLYMOUTH,2023/10/01 04:00:00+00,545426,22005597-9,-83.239633,42.372337,949
-82.965883,42.384251,VPO2023-01542,12661,,MACK,2023/10/01 04:00:00+00,303467,21001279.002L,-82.965883,42.384251,950
-83.007501,42.390308,VPO2023-01543,9229,,GRATIOT,2023/10/01 04:00:00+00,546578,19001714-6,-83.007501,42.390308,951
-83.208114,42.413821,VPO2023-01546,16779,,MURRAY HILL,2023/09/30 04:00:00+00,142469,22060393.,-83.208114,42.413821,952
-83.008078,42.355768,VPO2023-01555,445,,GRAND,2023/11/09 05:00:00+00,330414,15008071.,-83.008078,42.355768,953
-83.038428,42.394556,VPO2023-01556,8931,,MT ELLIOTT,2023/09/30 04:00:00+00,149436,13009635.,-83.038428,42.394556,954
-83.129343,42.406684,VPO2023-01557,15708,,LAWTON,2023/09/26 04:00:00+00,9610,12006152.,-83.129343,42.406684,955
-83.099564,42.345747,VPO2023-01558,3370,WEST,WARREN,2023/09/27 04:00:00+00,536151,12000698-9,-83.099564,42.345747,956
-83.102454,42.344542,VPO2023-01559,3645,WEST,WARREN,2023/09/27 04:00:00+00,536164,12000679.002L,-83.102454,42.344542,957
-82.94249,42.365038,VPO2023-01560,14131,,AVERHILL,2023/09/30 04:00:00+00,339027,21000315.,-82.94249,42.365038,958
